Time [sec],x_A(t),y_A(t),z_A(t),q_{0.A}(t),q_{1.A}(t),q_{2.A}(t),q_{3.A}(t),u_A(t),v_A(t),w_A(t),ω_{x.A}(t),ω_{y.A}(t),ω_{z.A}(t)
0,0.0,0.0,0.0,0.877582561890373,0.0,0.0,0.479425538604203,4.0,4.0,0.0,26.1,-8.2,-8.0
0.01,-0.0120469404167738,0.0547811211543702,5.7752287212997e-7,0.889500041551201,0.134521888353349,0.0210750866313697,0.436176058885905,3.49821594486332,4.09473246118234,-1.38597021872208,25.2944477785932,-10.3876743871654,-9.47146493532643
0.028000000000000004,-0.033720902419087,0.150923187179827,1.61824308462118e-5,0.875759582220759,0.367272920883087,0.0287430105395906,0.311987977457079,2.01270300188565,3.44607746258135,-3.62155623334744,22.7575661583215,-15.0877158007301,-12.8611181557445
0.0492803011391971,-0.0592992735502112,0.260486759692868,4.34674126315392e-5,0.807428087664029,0.584824948128894,-0.0110269041789313,0.0771710408610269,-0.627717947261317,1.70037588620091,-4.86007232186224,16.8264334203208,-21.406815355637,-17.6410760601988
0.0636345977035541,-0.076605611207134,0.331901998131892,5.59871769519192e-5,0.736110107301421,0.66170070609371,-0.0554819910109002,-0.131372262726054,-2.46577320540619,0.296372996588083,-4.39756674063662,10.4386742754401,-25.0862194101827,-20.4782832555327
0.0720870260554888,-0.0868014969294951,0.373006902069156,6.13311020588278e-5,0.687815433093289,0.670805344272824,-0.0803670341517797,-0.265545515939901,-3.30162212217692,-0.50740977552827,-3.6799352430992,5.85685555057409,-26.5075911652192,-21.5806313016696
0.0873013970889711,-0.105142536419599,0.445237697436538,8.11689173140867e-5,0.596187971593719,0.61478824443407,-0.106324980345129,-0.505317026521267,-3.98936578339294,-1.81398032501557,-2.02008752186,-3.10120781462715,-26.9614163888911,-21.9331929458998
0.0990909980642487,-0.119367102596787,0.499646382921578,9.38841999619965e-5,0.526989388186202,0.515624683814636,-0.0985276714143456,-0.668403052043909,-3.77845605130864,-2.66430992643988,-0.918736614253902,-9.70587786748433,-25.3740192648128,-20.7012448554812
0.116616731824811,-0.140500044182085,0.57800587913516,0.000124269030492352,0.434676878903575,0.314926242432002,-0.0326443377601475,-0.843136347045516,-2.79284913064097,-3.57817564283254,-0.28301305473445,-17.470369202232,-20.8948372924721,-17.2486257350387
0.12923675047122,-0.155735697791638,0.63256612015264,0.000139830300792549,0.37634716690726,0.159131725987735,0.0509935292587111,-0.91132157019196,-2.04969779537036,-3.87943179483134,-0.601659145890006,-21.2527121035104,-17.1096100853861,-14.3724090058089
0.142988386681491,-0.172338781949441,0.690240355758072,0.000157221776210635,0.317067979902733,-0.000420497966014451,0.166692419910843,-0.933674879088802,-1.4789742105784,-3.78209211783005,-1.41082444524494,-23.9289985341478,-13.1898779798263,-11.4664497366742
0.157439620842883,-0.189787339777083,0.748849813165958,0.000175131073370639,0.254562189784834,-0.144595890564543,0.303657449988265,-0.906724546522812,-1.18861022751229,-3.18509002599598,-2.40308915759714,-25.5977838761064,-9.63300755803915,-8.95302833991347
0.17231262543264,-0.207745839619951,0.807030538398516,0.000192640092532558,0.185154483037899,-0.262020921093185,0.44802493375631,-0.834507864469314,-1.12820514606275,-2.12477558894392,-3.22548128383182,-26.5524344780009,-6.62538279815055,-7.0172236070285
0.187174108342617,-0.225691196673035,0.86299846600571,0.0002088894225513,0.107479212101519,-0.346797403477154,0.583810832339105,-0.726231027207488,-1.18216265539216,-0.790693556478972,-3.61534714719116,-27.0560682783147,-4.16858175433752,-5.69873794709042
0.20259254466214,-0.244309920915507,0.918774093444039,0.000225487502483424,0.0168218013551066,-0.40186597443012,0.704784912270836,-0.584436479277811,-1.25839714113376,0.638081764537764,-3.46536256033223,-27.3054067849063,-2.01588896486868,-4.90494759392961
0.217609887543688,-0.262445127617419,0.970856502017326,0.000240473364829328,-0.0808390134702284,-0.426347591559304,0.794134342216724,-0.425571112254303,-1.31151047968121,1.83117289744291,-2.81151487887476,-27.3808070363137,-0.117710924271271,-4.63658440941515
0.233539506160015,-0.281682895798015,1.02368516112583,0.000256923215668164,-0.19250456133747,-0.42557752833284,0.850061636056057,-0.243493319266039,-1.35795226809418,2.66783099484882,-1.72638774873727,-27.3147692031629,1.88724257556031,-4.87245078431616
0.248101948630621,-0.299270333209437,1.06980076594778,0.000269923941990255,-0.299030844592883,-0.406236729733209,0.860429457332495,-0.0726773212355524,-1.43548536731534,2.93755150752696,-0.589412269087951,-27.0977075295809,3.89390218427688,-5.57449520504914
0.264741852660054,-0.319367718857886,1.11994872390093,0.000287371045470607,-0.421150296703915,-0.370901097378299,0.819256404643423,0.118126935857341,-1.62587980556669,2.65743880781285,0.590310940538455,-26.5554291466088,6.61363919115592,-7.0101642860844
0.278071643711984,-0.335467887294928,1.15816079905242,0.000297294892088801,-0.514325098671458,-0.340262922082562,0.742783539137261,0.260834014488763,-1.87775750013543,2.05822951353252,1.24181738400688,-25.7313279359596,9.27701124117775,-8.71205190362375
0.302065267605457,-0.364439222755627,1.22252413406196,0.000358795686996345,-0.650026700121424,-0.30607099143495,0.506194359689037,0.477132449459956,-2.42577654037602,0.542792939696956,1.3666712334206,-22.5447397851534,15.4005600030975,-13.0934473217362
0.320848800620726,-0.387141735080165,1.26900409848169,0.000388434116756212,-0.695098491093897,-0.323514579570697,0.243684121034161,0.594063790163527,-2.5550367373281,-0.604585228326081,0.492633690646682,-17.3463404469501,20.9967200080836,-17.3266595895323
