Time [sec],x_A(t),y_A(t),z_A(t),q_{0.A}(t),q_{1.A}(t),q_{2.A}(t),q_{3.A}(t),u_A(t),v_A(t),w_A(t),ω_{x.A}(t),ω_{y.A}(t),ω_{z.A}(t)
0,0.0,0.0,0.0,0.877582561890373,0.0,0.0,0.479425538604203,4.0,4.0,0.0,-6.1,1.0,-25.5
0.01,-0.0120465957330655,0.0547812356084398,-9.699756932805e-8,0.931064487903175,-0.029869050100667,-0.00645571924418552,0.363572733966466,2.79152647043106,4.7991733999222,0.317122483994924,-5.65677098316273,2.47349851688152,-25.5633686316584
0.028000000000000004,-0.0337203272223109,0.150925786938748,8.15828670773316e-9,0.987128715501927,-0.0791710255967978,0.000933797179338076,0.138959577213546,0.281902485161535,5.31458261464141,0.846660982442071,-3.98374884153338,4.6863060876543,-25.7585211853192
0.0508521876357434,-0.0612101759308228,0.268422154970584,2.66799185778946e-6,0.980353103691231,-0.11043309613455,0.0338775963741593,-0.159920332981225,-2.75531578027422,4.28019675423515,0.911961304459109,-0.7247349573679,6.08612022529431,-25.9429157715619
0.0665261793274337,-0.0800973754161586,0.346049651394917,4.86536887991401e-6,0.925612230796075,-0.103603405907651,0.0558478887713661,-0.359722339316722,-4.18884988081799,2.72018298423172,0.524879524054462,1.72822327868893,5.88421886841404,-25.9134504232951
0.0787548535600126,-0.0948364018527682,0.404937380780189,6.77614421423684e-6,0.856531424135968,-0.0844002721856029,0.063970631808196,-0.505123038157764,-4.74654776809919,1.2309677601805,0.145538799200891,3.46588502148999,5.07536577834364,-25.8050856932541
0.100766467178655,-0.121338259063077,0.507256175596275,-1.01399792163531e-7,0.681235477928883,-0.0356284972997901,0.0478513015627302,-0.729640207836866,-4.44491033748171,-1.49987639372369,-0.237880381617966,5.65004254760979,2.49169656030797,-25.5644307192788
0.117831767482831,-0.141909817658415,0.583310453519849,-1.41687222994265e-6,0.507868579100822,-0.00348882916967271,0.0094178022702682,-0.861385749326825,-3.24208279620237,-3.17104877280211,-0.0741948800523045,6.1839338477575,-0.0639792421024178,-25.4875834160632
0.131261412970118,-0.158102909104182,0.641149821566838,-1.31154237313619e-6,0.353363928419171,0.00911827643090132,-0.0294901825759507,-0.934985648276668,-1.89988467771229,-3.97043908920409,0.252250448388113,5.8135044667164,-2.0903171644826,-25.5416642031221
0.155434774847233,-0.187200051775436,0.740826664168446,4.28343328788653e-6,0.0481905712875623,-0.00205580017427002,-0.0921650598231955,-0.994587930836123,0.81838833906807,-4.03373346340846,0.740815626721515,3.54990098283418,-5.01960258678495,-25.7980404034105
0.171112437994576,-0.206110335074594,0.802406267801834,6.71848643035981e-6,-0.157162526901019,-0.0251295804954116,-0.111429064470582,-0.980958226074351,2.35408121863081,-3.19945066614538,0.709765455270544,1.29877230139437,-5.99315165784405,-25.9290775018049
0.182776592884162,-0.220182074574495,0.846654724791702,8.48067445756851e-6,-0.307019353470824,-0.0428422564049609,-0.110527943059141,-0.944306322429924,3.17622453030895,-2.2523837724005,0.502252467719405,-0.535525656134848,-6.10680815911025,-25.945837773935
0.203772071685417,-0.245492926180098,0.922955519690629,5.38770680613755e-6,-0.556034027555271,-0.059106648651798,-0.0798544784532694,-0.825219810548387,3.7252186365534,-0.20642092310922,0.00847131773172129,-3.60588210869045,-4.98081650647194,-25.7932919772518
0.222052459793187,-0.267547280651339,0.985865298469984,4.41837380307299e-6,-0.737262393227996,-0.0452118739389434,-0.0376736102574071,-0.673063417645794,3.22711755689665,1.49492387694398,-0.193849419171519,-5.47058755937465,-2.86125361317743,-25.5887630261132
0.246098189572743,-0.296537132872504,1.06364392447913,1.74832224571377e-6,-0.907901940570725,0.0105445718014127,0.00600142186961886,-0.419054996579678,1.58771659749169,2.93923434401077,0.0677920270760137,-6.14247664476392,0.728751204385284,-25.4938748876172
0.262924100129365,-0.316850846190994,1.11468610244763,1.35217233907785e-6,-0.974810359073278,0.0591453399305549,0.0133735114047424,-0.214730107742236,0.144112498765761,3.16138356884154,0.385410654883916,-5.29749263536227,3.16647754292211,-25.6113303973437
0.275429965271408,-0.33195210044422,1.1508208530611,1.30156475925742e-6,-0.994501810687979,0.0897527454833718,0.00521147123934575,-0.0540825846848073,-0.893564877110858,2.89450151513802,0.52743710835682,-4.03981145237853,4.64338332527303,-25.7533001130694
0.297940522527085,-0.359115895512467,1.21201644473421,3.83718336050324e-7,-0.963793331307085,0.114490627265747,-0.026795129079821,0.239426889216333,-2.28688263597217,1.68997559979115,0.413402013590543,-0.849441820201531,6.07361112164757,-25.9407554819004
0.31586620244382,-0.380765060871821,1.25718850535579,2.96260085439485e-7,-0.880406632298222,0.100076455047641,-0.0493336348140283,0.4609620460144,-2.68621714437593,0.380974966188364,0.101566462424427,1.94936880343815,5.81953376766299,-25.9039087692696
0.340206875089247,-0.410139226202642,1.31349478577592,-1.03177324517418e-5,-0.69402145073929,0.0475885222891288,-0.0463492166234161,0.716925088705425,-2.15296738940141,-1.26825903380947,-0.161183274181209,4.99408180364424,3.62115759509012,-25.6493753650375
0.356083694758838,-0.429326391562141,1.34708291027439,-1.28387260699819e-5,-0.535503261854586,0.0115832597633215,-0.0183548021834248,0.844290327835969,-1.32782364550006,-1.95973263835233,-0.0853657404685322,6.02300848896055,1.40698247369162,-25.5117919741386
0.369724719442369,-0.445812744626418,1.37396420763218,-1.44851245774793e-5,-0.381285785058273,-0.0096135254505199,0.0174847029674068,0.924274998305213,-0.485212266909113,-2.20022076222501,0.0850458450688747,6.14982947303804,-0.680888736611892,-25.4929978173095
